绑工资卡可以分期吗,绑可以分期
我买套餐怎么要98啊,我买套餐怎么要98
mate20pro,mate20pro
定制手机壳是怎么赠送,手机壳是怎么赠送
哦要发图片过文字给你吗,要发图片文字给你
这个需要买了才可以吗,这个需要买了才可以
今天可以发货不,可以发货不
店铺延保保哪些啊,店铺延保保哪些
多送点东西啊,多送点东西
你好你这荣耀10青春版怎么卖啊,你好怎么卖
嗯可以分期付款吗,可以分期付款
能发个链接过来吗,能发个链接过来
只显示3期啊,只显示3期
只显示3期没有12期,只显示3期没有12期
差51元你这里凑合点可以满300元,可以满300元
iPhoneXSmax不要赠品能优惠多少,能优惠多少
双12狂欢聚划算品牌团,12狂欢聚划算品牌团
没什么优惠了吗,没什么优惠
还能用什么优惠券吗,还能用什么优惠券
妙杀的50元优惠券能用吗,优惠券能用
这个nova2S能用,nova2S能用
一直点也没出来购买,也没出来购买
太没人情味,太没人情味
好吧算你狠我不和你们买不行了吗,算你狠买不行
我在你家买的手机忘记备注无礼品了麻烦备注一下,手机忘记备注无礼品
没有要礼品,没有要礼品
收到货再退那100吗,收到再退那100
昨天说了不要,昨天说不要
倒是你们能送个手机背贴支架,能送个手机背贴支架
你好如何2768购买P20,2768购买P20
这个还有优惠啊,这个还有优惠
店家不要赠品可以做到9688iphonexsmax256g,可以做到iphonexsmax256g
为啥是9888我看下,为啥是我看下
我确认是9998原价哈店家要不确认下,我确认是不确认下
不用啦店家发货吧,不用啦店家发货
这个664的不是全网通吗,不是全网通
手机保修多长时间,保修多长时间
手机里面给啥赠品,里面给啥赠品
如果我要的话今天白天给你个答复,白天给你个答复
咱手机里有什么赠品,里有什么赠品
我看着购买方式有裸机和80元天猫权益礼包我选的好像是裸机,方式有好像是裸机
那个80的礼包是什么,礼包是什么
睡觉了白天如果我要碎屏险在和你说,睡觉要碎屏险
亲你家是原封正品吗,家是原封正品
我不要礼品最低多少钱,我不要多少钱
信用卡不行吗,信用卡不行
银行卡不行吗,银行卡不行
老顾客有没有优惠啊在你这里买了2部P10手机了,老顾客有没有优惠
我擦那我为啥要等到双十二才来买,我擦要等到双十二来买
还比平常少送一个东西,少送一个东西
荣耀magic2,荣耀magic2
8128g原本还有12送3,原本还有12送3
要礼品不分期怎么减不了100啊,不分期怎么减不了100
是这个吗就是货到了确认收款后了在返款,是就是货到在返款
mate10有公开版吗,mate10有公开版
不要移动定制版的,不要移动定制版
不能备注一下吗,不能备注一下
顺丰肯定到的点就在对面,顺丰肯定就在对面
这个全网版的话后面不会有移动4g标志吧,不会有g标志
今晚购买啥时候发货,今晚购买啥时候发货
你好我拍错了,你好我拍错
手机不满意可以退吗,不满意可以退
这款不在激活手机之内吧,不在激活手机之内
你好送无线充,你好送无线充
发票备注没问题吧,备注没问题
这个要发送过去才能换是吧,要发送才能换是
啥时候发货呢,啥时候发货
这款手机是曲面屏吗,手机是曲面屏
我买的衣服也是从浙江发货的我的衣服都到了你还发的顺丰手机还没到长沙你们这什么顺丰,都到了还没到什么顺丰
我买东西包括我寄顺丰从来没有这么慢过不知道你们寄的是不是顺丰开发票给我开1299,我买东西包括我寄顺丰
我拍的1499你给我开1299,开1299
你给我开的1299的票我订单是1499,订单是1499
这个是移动版的,这个是移动版
我要全网通的,我要全网通
89送什么,89送什么
我直接买128G的XR是会有见面吗,XR是会有见面
我直接买128G的XR是会有减免吗,XR是会有减免
礼品是有啥呢,礼品是有啥
那50的礼品包含什么,礼品包含什么
保证是正品吗国行的,保证是正品吗国行
拍下到丽水大概啥时候能到,拍下啥时候能到
NOte5外屏换一个多少钱,外屏换多少钱
你好你发了2件包裹还是1件,你好你发件包裹还是1件
我看上面写的2我以为有2个呢,我看我以为有2个
花呗不够我,花呗不够我
我没有抢到优惠券99950,我没有优惠券99950
现在买不到优惠券了吗,现在买不到优惠券
明年1111再来,1111再来
元旦能有双十二便宜,能有十二便宜
就是嘛不看以前徒增伤悲明年双十一来,不看以前徒增伤悲明年双十一
买手机能开专票吗,机能开专票
公司抬头的增值税专用发票,增值税专用发票
你们这个手机到底是麦芒5还是G9PLUS啊,到底是5还是G9PLUS
6128翡冷翠,6128翡冷翠
我现在能拿出3500左右,能拿出3500
那就是不能分期了,那就是不能分期
怎么减40元啊,怎么减40元
咨询不是8608吗,咨询不是8608
咨询不是8606,咨询不是8606
优惠卷怎么抢啊,优惠卷怎么抢
您好充电底座什么作用可以无线电充不用插线了,您好无线电充不用插线
座是需要充电的就是,座是需要充电就是
一次能用多久,一次能用多久
斗篷外衣是金属的吗,外衣是金属
礼品是随机发的还是,礼品是随机发还是
你们是从哪里发货啊,你们是从哪里发货
双12狂欢定制手机壳3元起送,12狂欢定制3元起送
不分期不要礼品,分期不要礼品
128g黑色的,128g黑色
东西收到了也评价了老板,东西收到也评价老板
我不要移动全网通的,不要移动全网通
荣耀10拍下就是1799吗,拍下就是1799
自己看2099,自己看2099
我想要保温杯,我想要保温杯
我要那个保温杯,我要那个保温杯
咨询减200,咨询减200
6388最低,6388最低
礼品是什么,礼品是什么
HUAWEIMate20和Mate20pro的区别如下Mate20的屏幕尺寸是653英寸采用LCD材质Mate20pro屏幕尺寸是639英寸采用AMOLED材质Mate20的分辨率2240x1080Mate20pro的分辨率3120X144Mate20是后置像素1200万像素1600万像素800万像素Mate20pro是后置像素4000万像素2000万像素800万像素Mate20不支持屏下指纹解锁Mate20proUD版本即8G内存版本支持屏下指纹解锁Mate20不支持无线充电Mate20pro支持无线充电Mate20电池容量4000mAhMate20pro电池容量4200mAhMate20不支持40W超级快充Mate20pro支持40W超级快充Mate20不支持设备反向充电Mate20pro支持部分无线设备反向充电Mate20X支持35mm耳机接口兼容TypeC数字耳机Mate20pro不支持Mate20出厂有贴膜Mate20pro出厂无屏幕贴膜Mate20不支持前置单摄支持3D深度感知相机Mate20pro前置单摄支持3D深度感知相机,尺寸是英寸采用屏幕尺寸
还想知道怎么充电的,还想知道怎么充电
这个可以优惠点吗,这个可以优惠点
可不可以连热点,可以连热点
海南有没有仓库,海南有没有仓库
我是海南哪里发货,我是哪里发货
小二332GB魔力蓝确保是原厂正品未开封机吗,蓝确保是开封机
好的拍了什么时候发货,拍什么时候发货
六期免息吗怎么不支持,期免息吗不支持
到手价不是1099么,到手价不是1099么
怎么是1299呢,怎么是1299
麻烦你再试一下还是那帐号,麻烦再试一下还是那帐号
我花呗余额不够可以搞分期吗,可以搞分期
差888拍900啊,差888拍900
优惠卷怎么用啊,优惠卷怎么用
现在可以选东西了吧,可以选东西
游戏手柄护眼灯还有双肩包我想想吧,护眼灯还有双肩包我想想
套餐一是有个天猫精灵对吧,一是有精灵对
你们有好评送赠品的活动吗,你们有好评活动
你不怕我不给你好评吗,你不怕不给好评
上面写的护眼好不好,护眼好不好
这手机有耳机转换器吗,手机有耳机转换器
好的碎屏就不要了碎了就在你家买别的新机器了,碎买新机器
手机一般用个一年左右就换了,一般用个一年就换
十八号发货,十八号发货
给个准确一点时间吧这样拖着会影响我的计划的,会影响计划
优惠没优惠让送点小赠品做不了主还不发货这样好像是你们一点也不友好吧,没优惠让送小赠品
有货不发怎么解释呢,有货不发怎么解释
不要用着个官话说点白话吧那个太长了看不懂,不要用个官话说点白话看不懂
pro有优惠吗,pro有优惠
花呗额度不够怎么补差价,怎么补差价
还可以享受分三期免费是吗,可以享受免费是
不开发票有优惠吗,发票有优惠
那个满减券瞬间没了,满减券瞬间没了
我现在申请退款重新拍吧,现在申请退款
没有用你们的减50的优惠券,没有用减50优惠券
我买之前是一千多一点,之前是一千多一点
我是用了其他优惠券变成998了,我是用其他优惠券
店铺优惠券不是可以跟天猫的优惠券叠加使用吗,优惠券不是叠加
你们这个产品原价是1070,原价是1070
那我先申请退款你同意一下,先申请退款
在吗买黑沙活动我想要充电宝那个,我想要宝那个
不用了买个手机套保护就好了,买个手机套保护就好
亲麻烦帮我改下地址,亲麻烦帮改下地址
没错的这个地址很重要麻烦亲一定发这个地址,重要麻烦一定发这个地址
现在这个价格就是明天开卖的价格吗,价格就是明天开价格
你家什么都没有价钱还一样,都没有价钱还一样
你家有啥活动,家有啥活动
我都拍完了才看到不对了,都拍完才看到不对
你能否给我退了我再拍一下,退再拍一下
凑300还能优惠30不是,能优惠30不是
主要是优惠卷也没用上,主要是也没用上
128g不要礼品和赠品可以优惠多少,可以优惠多少
xr128g不要礼品和不分期可以优惠多少,g不要礼品
噢噢那我还是要分期的,我还是要分期
如果不要礼品店铺延保也不送了吗,店铺延保不送
还是要礼品吧,还是要礼品
这个版本的可以插双卡吗,可以插双卡
有可以插双卡的吗,有可以插双卡
就买6算了,就买6算了
亲标配包含耳机和充电器及数据线吗,亲标配包含耳机
你好这个送的扫地机器人是什么的呀,机器人是什么
双12狂欢收藏加购抽大奖,12狂欢收藏加购抽大奖
不知道好不好用不知道选哪一个套餐呢,不知道好不好用
这个表肯定是正品吧我要送人的,肯定是正品要送人
这个可以读英语吗,可以读英语
可以做什么,可以做什么
不会翻译英语吗,不会翻译英语
7p是官方正品全新未激活的吧,7p是全新未激活
好的今天可以发出来吗,可以发出来
送礼品要备注吗我要吃鸡套装,送要吃鸡套装
这个手机是正品吗,手机是正品
6128的不是2099吗,不是2099
怎么又卖2399了,又卖2399
2099买的话送什么东西不,2099买送什么东西不
我怕买到翻新机或者买到假货,我怕买到翻新机
如果是翻新机或者买到假货怎么办,如果是翻新机怎么办
我是第一次在网上买手机啊,我是买手机
我没用过支付宝买东西过,我没用过支付宝买东西
我不会支付宝的话咋整呢,我不会支付宝咋整
100的劵打不开哦,劵打不开哦
打开是这样的,打开是这样
发货地不是杭州,发货地不是杭州
浙江移动用户购机送话费,购机送话费
本来是看上本地卖家才来你家买,本来是看上本地卖家
我说下单几天不发货原来没货,我说下单几天不发货原来没货
手机以旧换新,手机以旧换新
你们领导有电话吗,领导有电话
你好请问这个双十二有活动不,你好请问双十二有活动
嗯嗯现在拍的话是明天发货吗,是明天发货
那我明天一早拍吧周四之前可以寄到昆明吗,一早拍可以寄到昆明
我选的就是粉色看来没缘分了,就是没缘分
我还想问下如果坏了是需要寄回来修吗,是需要寄回来
很贴心啊我现在就去担心双十二物流很多我周五又要到西藏出差,很贴心去担心物流很多
我主要想带着到西藏拍照那我先下单吧,主要想带着到西藏
我问是不是过段时间苹果就没有买了啊,我问是不是过段时间苹果
到时候出现问题怎么办啊,到时候出现问题怎么办
算了我感觉还是考虑一下先吧,还是考虑一下先
要不中国真的禁止了以后就麻烦一万多的啊,真的禁止就麻烦一万多
过段时间先吧不好意思哈,吧不好意思哈
新机器没电,新机器没电
以前在零售店买的好像都有点儿电的啊,都有点儿电
手表收到但是提醒功能震动很小正常都感觉不到,手表收到但是提醒功能震动
确认后给你支付宝吗,后给支付宝
这里比官方便宜六七百不会是翻新机吧,会是翻新机
为什么没有的,为什么没有
原来我定的是翡翠后来换成宝石蓝,是后来换成宝石蓝
怎么退给我,怎么退给我
我换个优酷会员呗,我换优酷会员
套餐有什么区别呢,套餐有什么区别
都有什么礼物啊,都有什么礼物
我看着相册怎么都不一样,我看不一样
还有手环也没见有手环啊,还有也没见有手环
我到手了礼品都有什么,我到手礼品都有什么
系统提醒该买家需要修改订单信息请跟进,系统提醒需要修改订单信息
你们打算21前一天发吗,你们打算一天发
你们的内存是多少,内存是多少
这个明天最低价多少,最低价多少
店子里比这个还便宜怎么回事,便宜怎么回事
那看直播能多久呢,那看直播能多久
买这个手机送什么礼物,买送什么礼物
一买来需要去营业厅激活码,买来需要去营业厅激活码
我想了解一下,我想了解一下
卡怎么激活,卡怎么激活
你好请问一下这手机是什么材质的,你好请问一下手机是什么材质
那你们这说的花呗不够也可以分期是真的吗,花呗不够分期是真的
才1200,才1200
可惜啦我的花呗额度没有那么多,额度没有那么多
全款的话买了就没有多少钱了所以才想分期呀,就没有多少钱才想分期
全款买的话只有等到下个月啦,全款买只有等到个月
那要猴年马月花呗额度才能达到七八千啊,才能达到七八千啊
你看看那个手机好我有选择恐惧症,你看看手机好
1000到1500,1000到1500
哦哦双十二有活动吗,哦哦双十二有活动
我想给我们公司的员工一人买一部手机,我想买一部手机
畅享9plas,畅享9plas
我可以问你一个私人问题吗,可以问私人问题
你平常都用什么跳蛋,都用什么跳蛋
那你平常都用什么自慰,都用什么自慰
多大了不自慰这可能吗,多大不自慰这可能
mate20proud版,mate20proud版
我们这有活动帮忙转一下负责人谢啦,这有活动帮忙转一下负责人谢
可以换成蓝色的,可以换成蓝色
好的好的那我发二维码,我发二维码
手机是移动版全网通还是全网通,手机是网通还是全网通
颜色有极光蓝吗,颜色有极光蓝
我都有点懵了我要的那款型号是什么,型号是什么
99元的送什么东西啊,送什么东西
这表支持换金属表带吗,表支持换金属表带
不能用给Yui吗,不能用给Yui
这款手机怎么样,手机怎么样
问也白问肯定说好运行内存最大多少,问白问肯定说好大多少
你好请问苹果6S回收吗16GB的,你好请问6S回收吗16GB
要怎样定制外壳呢,怎样定制外壳
可不可以都送我碎屏险,都送我碎屏险
已经支付颜色不要发错了还有配置,已经支付颜色不要发错还有配置
我这碎屏保按操作弄好了怎么看投了没有,碎屏保弄好怎么看投没有
深空灰8158,灰8158
裸机送哪些,裸机送哪些
裸机和套餐一有什么区别,一有什么区别
没看到有介绍,没看到有介绍
这样分开下没什么影响吧,这样分开下没什么影响
我拍两次好了,我拍两次好
好合作愉快,好合作愉快
应该是地方,应该是地方
Mate9支持5Gwife么,Mate9支持5Gwife
Mate9支持5Gwife么,Mate9支持5Gwife
可以到当地拿货的吗,可以到当地拿货
那啥你帮我改个地址吧,你帮改个地址
我收不到货,我收不到货
线接上没反应怎么回事,线接上没反应怎么回事
手机配置咋没有详细介绍,咋没有详细介绍
可以办理分期吗,可以办理分期
花呗用完了,花呗用完了
礼品和手机一起吗,礼品和手机一起
已经确认收到货了什么时候返还优惠啊,已经确认收到货
这个有发票吗,这个有发票
官方标配送什么,标配送什么
我不要那个我就想要官方标配,就想要官方标配
那我再考虑考虑,再考虑考虑
什么时候能到达漳州诏安,能到达漳州诏安
可以开专票吗,可以开专票
天猫精灵在休息时自己放绿光什么情况,自己放绿光什么情况
分期有利息吗,分期有利息
可不可以无线充电,可以无线充电
送的这个是哪个电话卡呢,这个是哪个电话卡
哪个运营商的呢,哪个运营商
你们送的扫地机器人是什么牌子的,机器人是什么牌子
怎么下载电视猫,怎么下载电视猫
没有运行4G的,没有运行4G
只要快递过来不破就行,只要快递过来
早上发应该下午到了,早上发下午到了
xr能不能在优惠点,能不能在优惠点
只要无线座充多少钱,无线座充多少钱
手机不会有问题吧,不会有问题
那就拍了我只要手机然后离新疆最近的站点发货质量不用说可以吧,就拍不用说可以
我只要手机价格换一下吧,价格换一下
啥时候发货,啥时候发货
最好明天就发货吧再过十天我不在这里了收不到货了,就发货再过十天我不在这里收不到货
你说这么多手机屏幕是不是有问题,你说是不是有问题
买了那么贵的你们也不送送什么便宜的东西,买了不送送东西
快递包装咋样,快递包装咋样
离新疆最近的站点发货别忘了,发货别忘了
上午还是5699呢,上午还是5699
价格比上午贵了100心里不舒服,上午贵不舒服
你们店苹果x6198是国行全网通全新机器吗,x6198是国行全新机器
那如果不是行货我怎么维权呢,如果不是行货怎么维权
这是typc的,这是typc
你好我昨天晚上拍的这个手机还没发货我现在不想要了可以退单吗,你好没发货可以退单
手机为什么充不进电去了,为什么充不进电去
64g可以送什么东西,可以送什么东西
你们说的是128g,是128g
我想要6S128,我想要6S128
不应该6splus贵一些么,6splus贵一些
而且说下线了啊,而且说下线
下单有没有礼品,下单有没有礼品
不事送保温杯吗,事送保温杯
怎么连接天猫,怎么连接天猫
亲有优惠券吗,亲有优惠券
手机是全新的吗,手机是全新
开箱了可以退吗,开箱可以退
如果我收到就是有划痕的手机怎么办呢,我收到就是手机怎么办
这个系统是什么版本的,系统是什么版本
现在下单明天可以发货不,可以发货不
XR国内版128G能优惠多少,能优惠多少
算了吧手机换了几个还真没摔碎屏过尽快发货吧,手机换几个没摔碎屏尽快发货
为什么拍的时候有黑色的,时候有黑色
5天不发货还没有我要的黑色,不发货还没有黑色
你们的店真她妈的垃圾,她妈的垃圾
实在是烦躁,实在是烦躁
你认为我等5天了还可以再等,你认为再等
我没有那么多时间,我没有多时间
明天马上帮我发蓝色的,马上帮发蓝色
我再不想和你们周旋了,再不想周旋
和你们做生意至少让人少活几年,至少让少活几年
标配没有耳机吗,标配没有耳机
那不是个收纳包吗,那不是个收纳包
都是原装出厂的吗,都是原装出厂
大概啥时候到,大概啥时候到
七天无理由退货,无理由退货
我都付款了还有能不能送个台灯或者电热壶啊,都付款还有不能送个台灯
